Medicine Name,Uses,Manufacturer
Hysoft Moisturizing Cream,Treatment of Eczema Severe allergic reactionsTreatment of Allergic conditionsTreatment of CancerTreatment of Skin disordersTreatment of Eye disorders,Ajanta Pharma Ltd
Hemocit-P Tablet, Stroke,Aspen Pharma
Halonext 0.05% Lotion, Skin conditions with inflammation & itching,Canixa Life Sciences Pvt
Halomesh Cream, Skin conditions with inflammation & itching,Apex Laboratories Pvt Ltd
H-One Cream, Melasma,Bio Swizz Pharmaceuticals
Halostrol S 6% Ointment, Eczema Psoriasis,East West Pharma
Histacross L 10mg Tablet,Treatment of Allergic conditions,Amwill Healthcare
Hep Grow Tablet,Treatment of Liver  disease,Nexeum Pharmaceuticals
Hicool PF Eye Gel, Dry eyes,Hicare Pharma
Hmet Trio 2mg/500mg/0.3mg Tablet,Treatment of Type 2 diabetes mellitus,Jarun Pharmaceuticals
Hopecard 5 Capsule,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure,Aristo Pharmaceuticals Pvt Ltd
Hexab Emulsion, Scabies,Talent India 
Hopecard 2.5 Capsule,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure,Aristo Pharmaceuticals Pvt Ltd
Hivus-LR 50mg/200mg Tablet, HIV infection,Veritaz Healthcare Ltd
Hyde Solution, Melasma,A. Menarini India Pvt Ltd
H-Quine Tablet,Treatment of Rheumatoid arthritisTreatment of Systemic lupus erythematosus (SLE)Treatment of Type 2 diabetes mellitus,Ankaa Pharmaceutical
Hical Suspension,Treatment and prevention of Calcium deficiency,Panbross Pharmaceuticals Pvt  Ltd
Hexolip 500 Tablet, Peripheral vascular disease,J B Chemicals and Pharmaceuticals Ltd
Histaban 5mg Tablet,Treatment of Allergic conditions,Gracious Pharmaceuticals
HMET-Forte Tablet SR,Treatment of Type 2 diabetes mellitus,Jarun Pharmaceuticals
Hypig 15 Cream, Melasma,Dermo Care Laboratories
Hairshine Ktz Soap,Treatment of Fungal skin infectionsTreatment of Dandruff,Cadila Pharmaceuticals Ltd
Hairouse-MX 2% Solution,Treatment of Hair loss,Nithyasha Healthcare Pvt Ltd
Hare 10 Spray,Treatment of Hair loss,Yaher Pharma
Hopecard-H 5/12.5 Capsule, Hypertension (high blood pressure),Aristo Pharmaceuticals Pvt Ltd
Hibesor 50mg Tablet,Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attack,Blue Cross Laboratories Ltd
Heptilose Oral Solution,Treatment of ConstipationTreatment of Hepatic encephalopathy,Deevens Pharma
Imatib 100 Tablet,Treatment of Cancer,Cipla Ltd
IPCA MMF 500 Tablet, Prevention of organ rejection in transplant patients,Ipca Laboratories Ltd
Inderal LA 20 Tablet SR,Treatment of PheochromocytomaTreatment of Hypertension (high blood pressure) Prevention of migraineTreatment of AnxietyTreatment of ArrhythmiaPrevention of Heart attackPrevention of Angina (heart-related chest pain)Treatment of Tremors,Abbott
Imdur 30mg Tablet PR,Prevention of Angina (heart-related chest pain),AstraZeneca
Istavel 100mg Tablet,Treatment of Type 2 diabetes mellitus,Sun Pharmaceutical Industries Ltd
Inderal 40 Tablet,Treatment of PheochromocytomaTreatment of Hypertension (high blood pressure) Prevention of migraineTreatment of AnxietyTreatment of ArrhythmiaPrevention of Heart attackPrevention of Angina (heart-related chest pain)Treatment of Tremors,Abbott
ITR Plus Eye Drop,Treatment of Dry eyes,Opticarma India SMC Pvt Ltd
Idrofos 150 Tablet,Treatment and prevention of postmenopausal Osteoporosis,Sun Pharmaceutical Industries Ltd
Indocap Capsule, Pain relief,Jagsonpal Pharmaceuticals Ltd
Istamet 50mg/1000mg Tablet,Treatment of Type 2 diabetes mellitus,Sun Pharmaceutical Industries Ltd
Igurati 25mg Tablet,Treatment of Rheumatoid arthritis,Ipca Laboratories Ltd
IT-Mac 100 Capsule,Treatment of Fungal infections,Macleods Pharmaceuticals Pvt Ltd
Intacoxia 90 Tablet, Pain relief,Intas Pharmaceuticals Ltd
Ivoral Forte Tablet,Treatment of Worm infections,Zydus Cadila
Indclav 625 Tablet,Treatment of Bacterial infections,Indchemie Health Specialities Pvt Ltd
Inderal 20mg Tablet,Treatment of PheochromocytomaTreatment of Hypertension (high blood pressure) Prevention of migraineTreatment of AnxietyTreatment of ArrhythmiaPrevention of Heart attackPrevention of Angina (heart-related chest pain)Treatment of Tremors,Abbott
Intimacy Plus 2 Tablet, Contraception,Aristo Pharmaceuticals Pvt Ltd
Itralase 100 Capsule,Treatment of Fungal infections,Cipla Ltd
Istavel 50mg Tablet,Treatment of Type 2 diabetes mellitus,Sun Pharmaceutical Industries Ltd
Iotim Eye Drop, Glaucoma Ocular hypertension,FDC Ltd
Isordil 5 Sublingual tablet,Prevention of Angina (heart-related chest pain),Ipca Laboratories Ltd
Inderal LA 40 Tablet SR,Treatment of PheochromocytomaTreatment of Hypertension (high blood pressure) Prevention of migraineTreatment of AnxietyTreatment of ArrhythmiaPrevention of Heart attackPrevention of Angina (heart-related chest pain)Treatment of Tremors,Abbott
Invokana  100mg Tablet,Treatment of Type 2 diabetes mellitus,Johnson & Johnson Ltd
Isolazine Tablet,Treatment of Heart failure,Lupin Ltd
Imiquad Cream (0.25gm Each), Genital warts (Skin bumps on or around the genital or anal area) Actinic keratosis Basal cell cancer,Glenmark Pharmaceuticals Ltd
Isryl-M2 Tablet SR,Treatment of Type 2 diabetes mellitus,Systopic Laboratories Pvt Ltd
Intacoxia MR 60mg/4mg Tablet,Treatment of Pain due to muscle spasm,Intas Pharmaceuticals Ltd
Ivepred 4 Tablet,Treatment of Rheumatic disorderTreatment of Systemic lupus erythematosus (SLE)Treatment of Allergic conditionsTreatment of Eye disordersTreatment of Skin disorders,Sun Pharmaceutical Industries Ltd
Isryl-M1 Tablet SR,Treatment of Type 2 diabetes mellitus,Systopic Laboratories Pvt Ltd
Ipravent Respules 2ml,Treatment of Chronic obstructive pulmonary disease (COPD),Cipla Ltd
Inapure 5 Tablet,Treatment of Angina (heart-related chest pain)Treatment of Heart failure,Sun Pharmaceutical Industries Ltd
Intaglip-M Tablet,Treatment of Type 2 diabetes mellitus,Intas Pharmaceuticals Ltd
Itromed 200 Capsule,Treatment of Fungal infections,Leeford Healthcare Ltd
Ismo 20 Tablet,Prevention of Angina (heart-related chest pain),Abbott
Isofer Injection, Iron deficiency anemia,Lupin Ltd
Imidil Cream,Treatment of Fungal skin infections,Hetero Drugs Ltd
Ivabid 5 Tablet,Treatment of Angina (heart-related chest pain)Treatment of Heart failure,Abbott
Itaspor 200 Capsule,Treatment of Fungal infections,Intas Pharmaceuticals Ltd
Ivepred 8 Tablet,Treatment of Rheumatic disorderTreatment of Systemic lupus erythematosus (SLE)Treatment of Allergic conditionsTreatment of Eye disordersTreatment of Skin disorders,Sun Pharmaceutical Industries Ltd
Incid-L Tablet,Treatment of Allergic conditions,Bayer Zydus Pharma Pvt Ltd
Inderal F 10 Tablet SR,Prevention of Migraine,Abbott
Imxia 5 Solution,Treatment of Hair loss,KLM Laboratories Pvt Ltd
Irban 5mg Tablet,Treatment of Angina (heart-related chest pain)Treatment of Heart failure,Glenmark Pharmaceuticals Ltd
Idrofos Kit, Osteoporosis,Sun Pharmaceutical Industries Ltd
Ibugesic ASP Tablet, Pain relief,Cipla Ltd
Immunorel 5gm Solution for Infusion,Prevention of Infections,Reliance Life Sciences
Imol Suspension, Pain reliefTreatment of Fever,Zydus Cadila
Itaspor-SB Capsule,Treatment of Fungal infections,Intas Pharmaceuticals Ltd
I Soft Ophthalmic Solution,Treatment of Dry eyes,Sentiss Pharma
Impulog Tablet,Treatment of Chronic kidney disease,La Renon Healthcare Pvt Ltd
I-Dew DS Aquagel,Treatment of Dry eyes,Entod Pharmaceuticals Ltd
Ivrea 1 Cream, RosaceaTreatment of Parasitic infections,Ajanta Pharma Ltd
Imograf Forte Ointment,Treatment of Atopic dermatitis,Canixa Life Sciences Pvt
Ivepred 16 Tablet,Treatment of Rheumatic disorderTreatment of Systemic lupus erythematosus (SLE)Treatment of Allergic conditionsTreatment of Eye disordersTreatment of Skin disorders,Sun Pharmaceutical Industries Ltd
Instaflex P Tablet SR, Pain relief Fever,Innovcare Lifesciences Pvt Ltd
Itrasys 100 Capsule,Treatment of Fungal infections,Systopic Laboratories Pvt Ltd
Inhalex Respules,Treatment of Respiratory tract disorders associated with viscid mucus,Cipla Ltd
Isordil 10 Tablet,Prevention of Angina (heart-related chest pain)Controlling Heart failure,Ipca Laboratories Ltd
Ivanode 5 Tablet,Treatment of Angina (heart-related chest pain)Treatment of Heart failure,Torrent Pharmaceuticals Ltd
Intalith CR 450 Tablet, Mania Bipolar disorder,Intas Pharmaceuticals Ltd
Itrostred 200 Capsule,Treatment of Fungal infections,Leeford Healthcare Ltd
Insugen-R 40IU/ml Solution for Injection, Diabetes,Biocon
Inzit 4 Tablet, Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain),Eris Lifesciences Ltd
Itromed 100 Capsule,Treatment of Fungal infections,Leeford Healthcare Ltd
Iobet Eye Drop, Glaucoma Ocular hypertension,FDC Ltd
Involym Capsule, Bacterial infections,La Pristine Bioceuticals Pvt Ltd
Ipravent Respirator Solution,Treatment of Chronic obstructive pulmonary disease (COPD),Cipla Ltd
Ilapro 10 Tablet, Gastroesophageal reflux disease (Acid reflux) Peptic ulcer disease,Ajanta Pharma Ltd
Imdur 60mg Tablet PR,Prevention of Angina (heart-related chest pain),AstraZeneca
IF 2 Eye Drop,Treatment of Allergic conditions,Cipla Ltd
Intimacy Plus 0.03 mg/0.15 mg Tablet, Contraception,Aristo Pharmaceuticals Pvt Ltd
Ivamac 5 Tablet,Treatment of Angina (heart-related chest pain)Treatment of Heart failure,Macleods Pharmaceuticals Pvt Ltd
I-Win 100 Capsule,Treatment of Fungal infections,Acme Generics LLP
Itzhh 200 Capsule,Treatment of Fungal infections,Hegde and Hegde Pharmaceutical LLP
Intacept 50mg Injection, Ankylosing spondylitis Rheumatoid arthritis Psoriasis Ulcerative colitis Crohn’s disease,Intas Pharmaceuticals Ltd
I-Dew Soothe Eye Drop,Treatment of Dry eyes,Entod Pharmaceuticals Ltd
Itrop Plus  Eye Drop, Eye examination,Cipla Ltd
Isonorm 30 SR Tablet,Prevention of Angina (heart-related chest pain),Lupin Ltd
Itradila 200 Capsule,Treatment of Fungal infections,Cadila Pharmaceuticals Ltd
Imidil-C Vaginal Suppository, Syndromic treatment of vaginal discharge,Hetero Drugs Ltd
Ifin 250mg Tablet, Fungal infections,Glenmark Pharmaceuticals Ltd
Ifin 500 Tablet, Fungal infections,Glenmark Pharmaceuticals Ltd
I-Win 200 Capsule,Treatment of Fungal infections,Acme Generics LLP
Itrafix 200 Capsule,Treatment of Fungal infections,Aristo Pharmaceuticals Pvt Ltd
Intacoxia 120 Tablet, Pain relief,Intas Pharmaceuticals Ltd
Ismo Retard Tablet ER,Prevention of Angina (heart-related chest pain),Abbott
Infen P Tablet, Pain relief Fever,Emcure Pharmaceuticals Ltd
Insugen 30/70 100IU Refil Cartridge, Diabetes,Biocon
Itratuf Oral Solution,Treatment of Fungal infections,Alkem Laboratories Ltd
Immulina Liquid, Diseases of respiratory tract,Dr Reddy's Laboratories Ltd
Ilevro Ophthalmic Suspension,Treatment of Post-operative eye pain and inflammation,Novartis India Ltd
Isolin 2mg Injection,Treatment of BradycardiaTreatment of Cardiac arrest,Samarth Life Sciences Pvt Ltd
Isoin 20 Capsule,Treatment of Acne,Wallace Pharmaceuticals Pvt Ltd
Imat 400 Tablet,Treatment of Cancer,Zydus Healthcare Limited
Insugen-R 100IU/ml Refil, Diabetes,Biocon
Iminoral 100 Capsule, Prevention of organ rejection in transplant patients Rheumatoid arthritis PsoriasisPrevention of graft rejection following Bone marrow transplantationTreatment of Nephrotic syndrome,Emcure Pharmaceuticals Ltd
Isotroin 5 Capsule,Treatment of Acne,Cipla Ltd
Intasporin Powder, Bacterial skin infections,Intas Pharmaceuticals Ltd
Ivabeat 5 Tablet,Treatment of Angina (heart-related chest pain)Treatment of Heart failure,Cipla Ltd
Ivecop 12 Tablet,Treatment of Parasitic infections,A. Menarini India Pvt Ltd
Inditel 40 Tablet,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure,Zydus Cadila
Intacoxia 60mg Tablet, Pain relief,Intas Pharmaceuticals Ltd
Irivisc DS Eye Drop,Treatment of Dry eyes,Indoco Remedies Ltd
Inderal F 5 Tablet SR,Prevention of Migraine,Abbott
Itragreat 100 Capsule,Treatment of Fungal infections,Mankind Pharma Ltd
Inramed 5 Tablet,Treatment of Low blood pressure,Mylan Pharmaceuticals Pvt Ltd - A Viatris Company
Izra- D40 Capsule SR,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Functional dyspepsia,Torrent Pharmaceuticals Ltd
Itrazole 100 Capsule,Treatment of Fungal infections,Lupin Ltd
Itromed 200 Capsule,Treatment of Fungal infections,Leeford Healthcare Ltd
Insuman Rapid 100IU/ml Solution for Injection, Diabetes,Sanofi India Ltd
Itrason 200 Capsule,Treatment of Fungal infections,Unison Pharmaceuticals Pvt Ltd
Imacin-SR 75 Capsule, Pain relief,Tas Med India Pvt Ltd
I-Tyza Capsule,Treatment of Fungal infections,Abbott
Itragreat 200 Capsule,Treatment of Fungal infections,Mankind Pharma Ltd
Irimist Ophthalmic Solution, Dry eyes,Indoco Remedies Ltd
Immutil-S 360 Tablet DR, Prevention of organ rejection in transplant patients,La Renon Healthcare Pvt Ltd
Intacoxia P 60mg/325mg Tablet, Pain relief,Intas Pharmaceuticals Ltd
Isotane 20 Capsule,Treatment of Acne,Micro Labs Ltd
Iotim Plus Eye Drop,Treatment of GlaucomaTreatment of Ocular hypertension,FDC Ltd
Insugen 50/50 Injection 100IU/ml, Diabetes,Biocon
Infinair 10/5mg Tablet,Treatment of Sneezing and runny nose due to allergiesTreatment of Hay feverTreatment of Allergic skin conditions,Pfizer Ltd
Immutil Tablet, Prevention of organ rejection in transplant patients,La Renon Healthcare Pvt Ltd
Inosert 50 Tablet,Treatment of DepressionTreatment of Post traumatic stress disorderTreatment of Obsessive-compulsive disorderTreatment of Panic disorderTreatment of Premenstrual dysphoric disorderTreatment of AnxietyTreatment of Premenstrual syndrome (PMS),Ipca Laboratories Ltd
Insuman Comb 25 Injection, Diabetes,Sanofi India Ltd
Ivabrad 7.5 Tablet,Treatment of Angina (heart-related chest pain)Treatment of Heart failure,Lupin Ltd
Insuman Comb 25 Injection, Diabetes,Sanofi India Ltd
Iotim B Ophthalmic Solution,Treatment of Ocular hypertensionTreatment of Glaucoma,FDC Ltd
Irovel 150 Tablet, Hypertension (high blood pressure) Heart failure Prevention of heart attack and stroke,Sun Pharmaceutical Industries Ltd
Insugen 30/70 Solution for Injection 40IU/ml, Diabetes,Biocon
Irovel H Tablet, Hypertension (high blood pressure),Sun Pharmaceutical Industries Ltd
ITRAGEN 200MG CAPSULE,Treatment of Fungal infections,Macleods Pharmaceuticals Pvt Ltd
Iladac 10 Tablet, Gastroesophageal reflux disease (Acid reflux) Peptic ulcer disease,Zydus Cadila
Inzit 8 Tablet, Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain),Eris Lifesciences Ltd
Itaspor Capsule,Treatment of Fungal infections,Intas Pharmaceuticals Ltd
Imograf Forte Ointment,Treatment of Atopic dermatitis,Canixa Life Sciences Pvt
Intalfa 3miu Injection, Chronic hepatitis B virus (HBV) infection Chronic hepatitis C virus (HCV) infection Multiple myeloma Follicular lymphoma Hairy cell leukemia,Intas Pharmaceuticals Ltd
Ibuflamar-P 400mg/325mg Tablet, Pain reliefTreatment of Fever,Indoco Remedies Ltd
Inditel AM Tablet,Treatment of Hypertension (high blood pressure),Zydus Cadila
Immulina 800 Tablet, Diseases of respiratory tract,Dr Reddy's Laboratories Ltd
Iban Plus Tablet,Treatment and prevention of postmenopausal Osteoporosis,Medsol India Overseas Pvt Ltd
Isoin 10 Capsule,Treatment of Acne,Wallace Pharmaceuticals Pvt Ltd
Involym Capsule, Bacterial infections,La Pristine Bioceuticals Pvt Ltd
Inmecin P 25mg/325mg Capsule, Pain relief,Sterkem Pharma Pvt Ltd
Isotroin 30 Capsule,Treatment of Acne,Cipla Ltd
Innomune Tablet, Prevention of organ rejection in transplant patientsTreatment of Rheumatoid arthritis,Cipla Ltd
Istaphase MG 2 Tablet PR,Treatment of Type 2 diabetes mellitus,Hetero Drugs Ltd
Inmecin 50mg Capsule, Pain relief,Sterkem Pharma Pvt Ltd
I Nem 500mg/500mg Injection, Severe bacterial infections,Glenmark Pharmaceuticals Ltd
Isryl 1 Tablet,Treatment of Type 2 diabetes mellitus,Systopic Laboratories Pvt Ltd
Insugen-N 40IU/ml Injection, Diabetes,Biocon
Ibucon Plus Suspension, Pain reliefTreatment of Fever,Concept Pharmaceuticals Ltd
Iminoral 50 Capsule, Prevention of organ rejection in transplant patients Rheumatoid arthritis PsoriasisPrevention of graft rejection following Bone marrow transplantationTreatment of Nephrotic syndrome,Emcure Pharmaceuticals Ltd
Immulina 400 Tablet, Diseases of respiratory tract,Dr Reddy's Laboratories Ltd
Isryl 2 Tablet,Treatment of Type 2 diabetes mellitus,Systopic Laboratories Pvt Ltd
Incid-MD Tablet,Treatment of Allergic conditions,Bayer Zydus Pharma Pvt Ltd
Itrasys CF 100 Capsule,Treatment of Fungal infections,Systopic Laboratories Pvt Ltd
Itzhh Capsule,Treatment of Fungal infections,Hegde and Hegde Pharmaceutical LLP
Irimist Gel, Dry eyes,Indoco Remedies Ltd
Iobrim Eye Drop, Ocular hypertension Glaucoma,FDC Ltd
IDEBEST 45MG TABLET,Treatment of Friedreich's ataxiaTreatment of Leber’s Hereditary Optic Neuropathy,Linux Laboratories
Ivf M  150IU Injection, Female infertility Male hypogonadism Male infertility,LG Lifesciences
Imxia 10% Solution,Treatment of Hair loss,KLM Laboratories Pvt Ltd
Itraclar 100mg Capsule,Treatment of Fungal infections,Torrent Pharmaceuticals Ltd
Intacept 25 Solution for Injection, Ankylosing spondylitis Rheumatoid arthritis Psoriasis Ulcerative colitis Crohn’s disease,Intas Pharmaceuticals Ltd
Inac 50 Tablet, Pain relief,Zydus Cadila
Inogla-M 500 Tablet SR,Treatment of Type 2 diabetes mellitus,Wockhardt Ltd
Ivecop 6 Tablet,Treatment of Parasitic infections,A. Menarini India Pvt Ltd
Itracip 100 Capsule,Treatment of Fungal infections,Cipla Ltd
Ibugesic AP  Tablet, Pain relief,Cipla Ltd
Itragen 100 Capsule,Treatment of Fungal infections,Macleods Pharmaceuticals Pvt Ltd
Itratop 200mg Capsule,Treatment of Fungal infections,Yash Pharma Laboratories Pvt Ltd
Infura 100mg Tablet,Treatment of Bacterial infections of urinary tract,RPG Life Sciences Ltd
Itratuf Capsule,Treatment of Fungal infections,Alkem Laboratories Ltd
Imograf Forte Lotion,Treatment of Atopic dermatitis,Canixa Life Sciences Pvt
Indclav Bid 228 Dry Syrup,Treatment of Resistance Tuberculosis (TB)Treatment of Bacterial infections,Indchemie Health Specialities Pvt Ltd
Isryl-M 4 Forte Tablet PR,Treatment of Type 2 diabetes mellitus,Systopic Laboratories Pvt Ltd
Instaflex AR 200mg/20mg Capsule SR, Pain relief,Innovcare Lifesciences Pvt Ltd
Ipravent Rotacaps,Treatment of Chronic obstructive pulmonary disease (COPD),Cipla Ltd
Ixarola 15mg Tablet,Treatment and prevention of Blood clots,Zydus Cadila
Ivnex 5gm Infusion, Immunoglobulins deficiency,Biocon
Ismigen Tablet, Diseases of respiratory tract,Lupin Ltd
Itral 1% Ointment,Treatment of Fungal skin infections,Jawa Pharmaceuticals  Pvt Ltd
Ibukind Plus 100 mg/162.5 mg Suspension, Pain reliefTreatment of Fever,Mankind Pharma Ltd
Inhipraz 40mg Tablet,Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,La Renon Healthcare Pvt Ltd
IT Mac 400mg Tablet SR,Treatment of Fungal infections,Macleods Pharmaceuticals Pvt Ltd
IBU-C Tablet, Pain relief,Winston Pharmaceuticals Ltd
Isonorm 20 Tablet,Prevention of Angina (heart-related chest pain),Lupin Ltd
Imidil Dusting Powder,Treatment of Fungal skin infections,Hetero Drugs Ltd
Iladac DSR Capsule PR,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Zydus Cadila
Isozole- DSR Capsule,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Functional dyspepsia,Parnasa Mediworld Pvt Ltd
Imferon S 20mg Injection, Iron deficiency anemia,Shreya Life Sciences Pvt Ltd
Isotane 10 Capsule,Treatment of Acne,Micro Labs Ltd
Insulate-NP Tablet, Neuropathic pain,Butson Bioscience
Iverscab 12mg Dispersible Tablet,Treatment of Parasitic infections,NuLife Pharmaceuticals
Inditel CH 40 Tablet, Hypertension (high blood pressure),Zydus Cadila
Inditel H 40 Tablet,Treatment of Hypertension (high blood pressure),Zydus Cadila
Ivabratco 5 Tablet,Treatment of Angina (heart-related chest pain)Treatment of Heart failure,Natco Pharma Ltd
Inditel D Capsule SR, Hypertension (high blood pressure),Zydus Cadila
Intalith 300 Tablet, Mania Bipolar disorder,Intas Pharmaceuticals Ltd
Itrasys 400 Capsule,Treatment of Fungal infections,Systopic Laboratories Pvt Ltd
Insulatard 100IU/ml Flexpen, Diabetes,Novo Nordisk India Pvt Ltd
Insulatard HM 100IU/ml Penfill, Diabetes,Novo Nordisk India Pvt Ltd
Itralent 100mg Capsule,Treatment of Fungal infections,Talent India 
Infen Plaster, Pain relief,Emcure Pharmaceuticals Ltd
Iso Aret 20mg Capsule,Treatment of Acne,A. Menarini India Pvt Ltd
Infa  -VT Ointment, Syndromic treatment of vaginal discharge,Lark Laboratories Ltd
Itaphyte 200 Capsule,Treatment of Fungal infections,Alembic Pharmaceuticals Ltd
Itrabond 100 Capsule,Treatment of Fungal infections,Brinton Pharmaceuticals Pvt Ltd
Itralent 200 Capsule,Treatment of Fungal infections,Talent India 
Itral Eye/Ear Drops,Treatment of Fungal infections,Jawa Pharmaceuticals  Pvt Ltd
Itrafix 100 Capsule,Treatment of Fungal infections,Aristo Pharmaceuticals Pvt Ltd
Irovel 300 Tablet, Hypertension (high blood pressure) Heart failure Prevention of heart attack and stroke,Sun Pharmaceutical Industries Ltd
Inogla Tablet,Treatment of Type 2 diabetes mellitus,Wockhardt Ltd
Iycotic Cream, Fungal skin infections,Rowan Bioceuticals Pvt Ltd
I-Gesic Eye Drop, Post-operative eye pain and inflammation Pain relief,Centaur Pharmaceuticals Pvt Ltd
Itromed Gel,Treatment of Fungal skin infections,Leeford Healthcare Ltd
Iconac MR 8 Tablet,Treatment of Muscular pain,Icon Life Sciences
Inditel 20 Tablet,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure,Zydus Cadila
Ivepred 500mg Injection,Treatment of Rheumatic disorderTreatment of Systemic lupus erythematosus (SLE)Treatment of Allergic conditionsTreatment of Eye disordersTreatment of Skin disorders,Sun Pharmaceutical Industries Ltd
Itrafix 100 Capsule,Treatment of Fungal infections,Aristo Pharmaceuticals Pvt Ltd
Intrazole 200 Capsule,Treatment of Fungal infections,Rockmed Pharma Pvt. Ltd.
Inosert 25 Tablet,Treatment of DepressionTreatment of Post traumatic stress disorderTreatment of Obsessive-compulsive disorderTreatment of Panic disorderTreatment of Premenstrual dysphoric disorderTreatment of AnxietyTreatment of Premenstrual syndrome (PMS),Ipca Laboratories Ltd
Inosert 100 Tablet,Treatment of DepressionTreatment of Post traumatic stress disorderTreatment of Obsessive-compulsive disorderTreatment of Panic disorderTreatment of Premenstrual dysphoric disorderTreatment of AnxietyTreatment of Premenstrual syndrome (PMS),Ipca Laboratories Ltd
Iladac L Capsule PR, Constipation,Zydus Cadila
Inditel CH 80 Tablet, Hypertension (high blood pressure),Zydus Cadila
Istavel 25mg Tablet,Treatment of Type 2 diabetes mellitus,Sun Pharmaceutical Industries Ltd
Insugen-R 100IU/ml Solution for Injection, Diabetes,Biocon
Itrabond 200 Capsule,Treatment of Fungal infections,Brinton Pharmaceuticals Pvt Ltd
Itracoe 200 Capsule,Treatment of Fungal infections,Koye Pharmaceuticals Pvt ltd
Isofeel 0.025 Cream,Treatment of Acne Acute promyelocytic leukaemia,Dermakare Pharmaceuticals Pvt Ltd
Irivisc Liquigel,Treatment of Dry eyes,Indoco Remedies Ltd
Itrazole 200 Capsule,Treatment of Fungal infections,Lupin Ltd
Itracoe Gel,Treatment of Fungal skin infections,Koye Pharmaceuticals Pvt ltd
Ivazine 5 Tablet,Treatment of Angina (heart-related chest pain)Treatment of Heart failure,Torrent Pharmaceuticals Ltd
Inogla-M 1000 Tablet SR,Treatment of Type 2 diabetes mellitus,Wockhardt Ltd
Isonorm 60 SR Tablet,Prevention of Angina (heart-related chest pain),Lupin Ltd
Inditel AH 40 Tablet, Hypertension (high blood pressure),Zydus Cadila
Isomin 20mg Tablet,Prevention of Angina (heart-related chest pain),Cipla Ltd
Ivermect 12mg Tablet,Treatment of Parasitic infections,Domagk Smith Labs Pvt Ltd
IZ K Soap, Fungal skin infections,MRHM Pharma Pvt Ltd
Itaspor Powder,Treatment of Fungal skin infections,Intas Pharmaceuticals Ltd
Ilosure 4 Tablet, Schizophrenia Mania,Sun Pharmaceutical Industries Ltd
Ivepred 1000mg Injection,Treatment of Rheumatic disorderTreatment of Systemic lupus erythematosus (SLE)Treatment of Allergic conditionsTreatment of Eye disordersTreatment of Skin disorders,Sun Pharmaceutical Industries Ltd
Isorus Tablet,Treatment of Heart failure,Ajanta Pharma Ltd
Intadine 5% Ointment,Treatment and prevention of Wound infection,Intas Pharmaceuticals Ltd
Ishape 120mg Capsule, Obesity,Primus Remedies Pvt Ltd
ILet B 2 Tablet PR,Treatment of Type 2 diabetes mellitus,MSN Laboratories
Indikof LS Syrup Sugar Free,Treatment of Cough with mucus,Alkem Laboratories Ltd
Ixarola 20mg Tablet,Treatment and prevention of Blood clots,Zydus Cadila
Ilapro D Capsule PR,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Ajanta Pharma Ltd
Intawin 400 Tablet,Treatment of Fungal infections,Intas Pharmaceuticals Ltd
Ibrex-MT Tablet,Treatment of Sneezing and runny nose due to allergies,Cadila Pharmaceuticals Ltd
Intagesic 50 mg/325 mg Tablet, Pain relief,Intas Pharmaceuticals Ltd
Irinotel 100mg Injection, Cancer of colon and rectum,Fresenius Kabi India Pvt Ltd
I-Sure Capsule,Treatment of Acne,Assure Lifescience Pvt Ltd
Ibilul Cream,Treatment of Fungal skin infections,Indiabulls pharmaceutical ltd
Intrazole 100 Capsule,Treatment of Fungal infections,Rockmed Pharma Pvt. Ltd.
Ixza 1000mg Injection, Severe bacterial infections,Biocon
Isolor 5 Tablet,Treatment of Allergic conditions,Galaxy Biotech
Itracip 200mg Capsule,Treatment of Fungal infections,Cipla Ltd
Itraconol 200 Capsule,Treatment of Fungal infections,Knoll Pharmaceuticals Ltd
Isonise 10mg Capsule,Treatment of Acne,Oziel Pharmaceuticals Pvt Ltd
Immulina Liquid, Diseases of respiratory tract,Dr Reddy's Laboratories Ltd
Ibvilda M 500 Tablet,Treatment of Type 2 diabetes mellitus,Indiabulls pharmaceutical ltd
Insugen 50/50 Injection 100IU/ml, Diabetes,Biocon
Itrostred 200 Capsule,Treatment of Fungal infections,Leeford Healthcare Ltd
I Lax 20mg Capsule,Treatment of Acne,Laxian Healthcare
Izra-L Capsule SR,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Torrent Pharmaceuticals Ltd
